psa_iter,duration,dose,comp,mean_fm
5,12,450,0.0,1.469244718026957
5,12,450,0.25,1.0964695390755426
5,12,450,0.5,0.7277844249617275
5,12,450,0.75,0.3663435639605903
5,16,0,0.0,0.0
5,16,0,0.25,0.0
5,16,0,0.5,0.0
5,16,0,0.75,0.0
5,16,75,0.0,0.37888252783524773
5,16,75,0.25,0.2881464713857608
5,16,75,0.5,0.1899175486030027
5,16,75,0.75,0.09388995591450482
5,16,150,0.0,0.7679209370182247
5,16,150,0.25,0.5784921460644432
5,16,150,0.5,0.3853103663912873
5,16,150,0.75,0.1874480372958123
5,16,225,0.0,1.1096823635513042
5,16,225,0.25,0.8279796387981148
5,16,225,0.5,0.5453817905087901
5,16,225,0.75,0.2681559487100479
5,16,300,0.0,1.41492290460097
5,16,300,0.25,1.0672508286903708
5,16,300,0.5,0.7136788422120652
5,16,300,0.75,0.3518818303692045
5,16,375,0.0,1.6921361493236
5,16,375,0.25,1.2663133112779146
5,16,375,0.5,0.8542122476815196
5,16,375,0.75,0.4227794783189638
5,16,450,0.0,1.9332612430948837
5,16,450,0.25,1.4645757376166593
5,16,450,0.5,0.968035995332315
5,16,450,0.75,0.4860258424041611
5,24,0,0.0,0.0
5,24,0,0.25,0.0
5,24,0,0.5,0.0
5,24,0,0.75,0.0
5,24,75,0.0,0.5757607560759848
5,24,75,0.25,0.4290663295364963
5,24,75,0.5,0.2871845181758488
5,24,75,0.75,0.14048336964105237
5,24,150,0.0,1.145826613346609
5,24,150,0.25,0.8542402412367376
5,24,150,0.5,0.5723257478773283
5,24,150,0.75,0.2944243475151595
5,24,225,0.0,1.6530105877009849
5,24,225,0.25,1.2494804655103882
5,24,225,0.5,0.8283242788049279
5,24,225,0.75,0.41376398412574333
5,24,300,0.0,2.119664143600403
5,24,300,0.25,1.5842080920202237
5,24,300,0.5,1.0541555607707105
5,24,300,0.75,0.5219206916480243
5,24,375,0.0,2.550697249652696
5,24,375,0.25,1.891034675061057
5,24,375,0.5,1.2917004320050725
5,24,375,0.75,0.6358003164564523
5,24,450,0.0,2.9276343419300686
5,24,450,0.25,2.211229741391612
5,24,450,0.5,1.4669782721066735
5,24,450,0.75,0.7229944533051023
6,8,0,0.0,0.0
6,8,0,0.25,0.0
6,8,0,0.5,0.0
6,8,0,0.75,0.0
6,8,75,0.0,0.26209444872309734
6,8,75,0.25,0.1992506712701537
6,8,75,0.5,0.1304439581299698
6,8,75,0.75,0.06608280327495936
6,8,150,0.0,0.5261661463194796
6,8,150,0.25,0.39079566503122465
6,8,150,0.5,0.2625072753951932
6,8,150,0.75,0.1309710033165421
6,8,225,0.0,0.7786333020761632
6,8,225,0.25,0.5807484609663154
6,8,225,0.5,0.3882734628087503
6,8,225,0.75,0.1964262600379047
6,8,300,0.0,1.0223778585599324
6,8,300,0.25,0.769932285731054
6,8,300,0.5,0.5106195360100578
6,8,300,0.75,0.25709833898593387
6,8,375,0.0,1.2623842072598557
6,8,375,0.25,0.9519666295187869
6,8,375,0.5,0.6245014109202286
6,8,375,0.75,0.3075093850148815
6,8,450,0.0,1.4904430649698734
6,8,450,0.25,1.1025384383206451
6,8,450,0.5,0.7402761389031514
6,8,450,0.75,0.3717713739626955
6,12,0,0.0,0.0
6,12,0,0.25,0.0
6,12,0,0.5,0.0
6,12,0,0.75,0.0
6,12,75,0.0,0.39267275958453235
6,12,75,0.25,0.2937279662696701
6,12,75,0.5,0.19387315979607925
6,12,75,0.75,0.09665757430601996
6,12,150,0.0,0.7968230666871816
6,12,150,0.25,0.5930915354029026
6,12,150,0.5,0.3940903129311417
6,12,150,0.75,0.19484506321019932
6,12,225,0.0,1.1636188332142543
6,12,225,0.25,0.8762450005139869
6,12,225,0.5,0.5885272377857674
6,12,225,0.75,0.2934257620660347
6,12,300,0.0,1.5204410780521758
6,12,300,0.25,1.1533799821711155
6,12,300,0.5,0.7603953783460327
6,12,300,0.75,0.38051300320923526
6,12,375,0.0,1.874620761930602
6,12,375,0.25,1.4185312966518937
6,12,375,0.5,0.9453032360528578
6,12,375,0.75,0.4756770190120784
