comp,dose,delta_fm
0.0,75,0.5039467969006203
0.0,75,0.2559188242207567
0.0,75,0.3757962789068044
0.0,75,0.3967263879034932
0.0,75,0.4508568209966377
0.0,75,0.3044794296506931
0.0,75,0.2915334388832827
0.0,75,0.5836257294379712
0.0,75,0.2455997467285524
0.0,75,0.3116394423222284
0.0,75,0.4100499893521341
0.0,75,0.2804549480355076
0.0,75,0.4400755575725017
0.0,75,0.4241759481178893
0.0,75,0.4348411567299232
0.0,75,0.2723554088419885
0.0,75,0.2027473261221037
0.0,75,0.3730167682033554
0.0,75,0.3906112442987214
0.0,75,0.6081556455421732
0.0,75,0.511312383667674
0.0,75,0.1369604541881832
0.0,75,0.4073043111766094
0.0,75,0.2420993813568464
0.0,75,0.45983911326365
0.0,75,0.2271168010167931
0.0,75,0.3395094340429277
0.0,75,0.3138334888299098
0.0,75,0.3527766930278576
0.0,75,0.4493632933495405
0.0,75,0.4093966716401751
0.0,75,0.5649593799981159
0.0,75,0.3873509649075197
0.0,75,0.5862416997052905
0.0,75,0.3631886008857595
0.0,75,0.4053968818635023
0.0,75,0.4423818050608569
0.0,75,0.2650581298644403
0.0,75,0.415009440803999
0.0,75,0.1841562620564215
0.0,75,0.3139471041306318
0.0,75,0.3904633633718338
0.0,75,0.2699550347327347
0.0,75,0.4353221521023908
0.0,75,0.1970893557167565
0.0,75,0.3057341346297584
0.0,75,0.2261862522736631
0.0,75,0.30430424190512
0.0,75,0.270442707492692
0.0,75,0.5247309863574439
0.0,75,0.2616844739355523
0.0,75,0.2056997100080327
0.0,75,0.222725733611829
0.0,75,0.3605559919680492
0.0,75,0.218655611217101
0.0,75,0.3498951211193468
0.0,75,0.3144984236867376
0.0,75,0.2545200502358215
0.0,75,0.3762636292653288
0.0,75,0.3455347266793317
0.0,75,0.1843094014761899
0.0,75,0.4188664537327223
0.0,75,0.3548443883663216
0.0,75,0.4920680791341955
0.0,75,0.541592474226128
0.0,75,0.3990884117006505
0.0,75,0.2465538051925081
0.0,75,0.2091247575283503
0.0,75,0.2640773111903663
0.0,75,0.3517280610840896
0.0,75,0.2385812523800134
0.0,75,0.1394959926084603
0.0,75,0.3019613409849531
0.0,75,0.3271435814509554
0.0,75,0.284461312135234
0.0,75,0.167849612802843
0.0,75,0.1735597137102678
0.0,75,0.3159327891648302
0.0,75,0.4518062775453607
0.0,75,0.3387754416281246
0.0,75,0.379587717902135
0.0,75,0.2905374920380371
0.0,75,0.3195389519313019
0.0,75,0.204360654591141
0.0,75,0.3137297930221001
0.0,75,0.397845698064063
0.0,75,0.2848784009040436
0.0,75,0.3266631079442036
0.0,75,0.3999641487578494
0.0,75,0.2903190550779364
0.0,75,0.3007976986958265
0.0,75,0.5032308173471309
0.0,75,0.4088891210325019
0.0,75,0.355592842618095
0.0,75,0.2170403317368422
0.0,75,0.3738965256601897
0.0,75,0.3182010869214456
